Satellite,X,Y,Z,Year,Month,Day,Hour,Minute,Second
GPS BIIR-2  (PRN 13),13282.592027360215,-17891.10549376313,14038.232754629871,2024,11,19,9,24,0
GPS BIIR-4  (PRN 20),20085.6065029956,-4449.451071277364,16798.51867735406,2024,11,19,9,24,0
GPS BIIR-5  (PRN 22),22426.02047943218,7425.335442507301,-11430.733794119666,2024,11,19,9,24,0
GPS BIIR-8  (PRN 16),-15655.30287779954,5861.291190513361,20393.478765403135,2024,11,19,9,24,0
GPS BIIR-9  (PRN 21),-12664.643483267257,18609.554358609217,-12786.249360267539,2024,11,19,9,24,0
GPS BIIR-11 (PRN 19),15440.851985283121,-1897.2660252494406,-21618.537899246723,2024,11,19,9,24,0
GPS BIIR-13 (PRN 02),-7338.428444141728,18414.509804653448,-17026.930208189893,2024,11,19,9,24,0
GPS BIIRM-1 (PRN 17),13391.689713408165,8881.190673021414,-20693.85869953017,2024,11,19,9,24,0
GPS BIIRM-2 (PRN 31),-24763.079795078575,9858.203747430487,-2655.702634609054,2024,11,19,9,24,0
GPS BIIRM-3 (PRN 12),-53.36021293450828,-17628.435223221386,-20163.756466411924,2024,11,19,9,24,0
GPS BIIRM-4 (PRN 15),3155.6153980157555,-24919.347805679972,7873.807028805382,2024,11,19,9,24,0
GPS BIIRM-5 (PRN 29),-4582.458688835792,-23667.02498248908,10969.524576702011,2024,11,19,9,24,0
GPS BIIRM-6 (PRN 07),10268.550827234649,12250.3384166538,21785.8186634643,2024,11,19,9,24,0
GPS BIIRM-8 (PRN 05),10297.719497647133,-11039.99897088632,21680.154343412963,2024,11,19,9,24,0
GPS BIIF-1  (PRN 25),-14045.349777233598,-19195.792398317935,-12440.937518644223,2024,11,19,9,24,0
GPS BIIF-3  (PRN 24),8284.897670121622,-19556.538270306704,-16159.77132048321,2024,11,19,9,24,0
GPS BIIF-4  (PRN 27),-12550.999613628044,15559.962058204233,16968.08558379421,2024,11,19,9,24,0
GPS BIIF-5  (PRN 30),20085.803065150372,3967.823597864362,17208.835671204695,2024,11,19,9,24,0
GPS BIIF-6  (PRN 06),24017.912624324625,-3894.197913123846,-10715.53687936504,2024,11,19,9,24,0
GPS BIIF-7  (PRN 09),7290.627476284452,22844.95645970533,11251.316959799222,2024,11,19,9,24,0
GPS BIIF-8  (PRN 03),5673.112529884809,18368.36241412449,-18539.815281431816,2024,11,19,9,24,0
GPS BIIF-9  (PRN 26),-23125.174117270344,-1209.5803330842225,13170.601230936441,2024,11,19,9,24,0
GPS BIIF-10 (PRN 08),-6634.088879223536,23865.850717248926,8826.116804083887,2024,11,19,9,24,0
GPS BIIF-11 (PRN 10),-23734.102851957112,-9663.753639089875,-7401.333802175934,2024,11,19,9,24,0
GPS BIIF-12 (PRN 32),-14619.402632645455,-5365.320523384149,-21321.13413330382,2024,11,19,9,24,0
GPS BIII-1  (PRN 04),-324.2977517516734,26326.06383620902,2834.123835862506,2024,11,19,9,24,0
GPS BIII-2  (PRN 18),-11917.588477276107,-10376.742915395027,21414.088200311933,2024,11,19,9,24,0
GPS BIII-3  (PRN 23),-19923.68176506617,-16766.4333709416,5856.973419769089,2024,11,19,9,24,0
GPS BIII-4  (PRN 14),23305.40994523542,12364.364000057312,-3974.617499230027,2024,11,19,9,24,0
GPS BIII-5  (PRN 11),23254.62166441013,-12501.377169740008,2593.8525534425958,2024,11,19,9,24,0
GPS BIII-6  (PRN 28),-23245.22532930052,2766.6939058711423,-12568.698521615046,2024,11,19,9,24,0
